fid,Артикул,Название товара,Дополнительное поле: Полное название товара,Дополнительное поле: Особенность,Полное описание,Цена продажи,Остаток,Изображения,Подкатегория 1,Подкатегория 2,Подкатегория 3,Подкатегория 4,Параметр: Бренд,Параметр: Ширина,Параметр: Высота,Параметр: Высота Упаковки,Параметр: Ширина Упаковки,Параметр: Глубина Упаковки,Параметр: Вес Брутто,Параметр: Объем Упаковки,Параметр: Цвет,Параметр: Материал,Параметр: Длина
84,KARE__20615,Каркас кровати Desire High Individual 180×200 см,Каркас кровати Desire High Individual 180×200 см,,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-20615.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">1,5 мб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",512296,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20615-1400x1400-1.jpg,Бренды,KARE,Мебель,Кровати,KARE,197 ,136 ,,,,"63,000 ","0,860 ",,"Каркас- пихта из массива дерева натуральный / необработанный, Боковая часть- древесно волокнистая плита средней плотности натуральный / необработанный, Ножка/ножки- бук из массива дерева лакированный, Мягкая набивка- 25 kg/m³ полиуретан",228 
85,KARE__20654,Диван Look 180 см Individual Ткань 2,Диван Look 180 см Individual Ткань 2,,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-20654.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">1,9 мб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",519048,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20654-1400x1400-1.jpg,Бренды,KARE,Мебель,Диваны и кушетки,KARE,180 ,77 ,63 ,187 ,94 ,"57,000 ","1,107 ",,Каркас- береза древесно волокнистая плита средней плотности натуральная/еобработаннаяnСидение- 35 /м³ полиуретанnЗадняя часть- полиуретанnНожки- матовая латуньnМаксимальная нагрузка- 110  nРаскладывается на частиnВысота сиденья 44 ,90 
86,KARE__20685,Набор образцов Tavola,Набор образцов Tavola,,"",5931,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20685-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/07/KARE-20685-master-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/07/KARE-20685-master-b-1400x1400-1.jpg,Бренды,KARE,Мебель,Другие вспомогательные средства,KARE,15 ,2 ,6 ,17 ,17 ,"1,900 ",,Коричневый,"сталь хромированная, сталь лакированная, сталь лакированная, сталь латунная, сталь с порошковым покрытием, дуб из массива дерева лакированный, акация из массива дерева лакированный, 15 mm панель,",21 
87,KARE__20741,Образец аромасвечи Candle Cherry Blossom,Образец аромасвечи Candle Cherry Blossom,,"",911,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20741-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,6 ,5 ,11 ,26 ,20 ,"4,500 ","0,006 ",,",,, период горения",6 
88,KARE__20740,KARE Admission Ribbon,KARE Admission Ribbon,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/kare-20740-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,32 ,2 ,,,,"2,500 ",,,полиэстер,2 
89,KARE__20744,Образец аромасвечи Candle Yes,Образец аромасвечи Candle Yes,,"",911,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20744-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,6 ,5 ,11 ,26 ,20 ,"4,500 ","0,006 ",,",,, период горения",6 
90,KARE__20742,Образец аромасвечи Candle Stella,Образец аромасвечи Candle Stella,,"",911,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20742-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,6 ,5 ,11 ,26 ,20 ,"4,500 ","0,006 ",,",,, период горения",6 
91,KARE__20737,Образец материала Tavola Dark,Образец материала Tavola Dark,,"",2109,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20737-1400x1400-1.jpg,Бренды,KARE,Мебель,Другие вспомогательные средства,KARE,15 ,1 ,2 ,15 ,22 ,"0,500 ","0,001 ",Коричневый,акация из массива дерева лакированный,21 
92,KARE__20752,Material Swatch Benvenuto Matt White,Material Swatch Benvenuto Matt White,,"",1693,0,https://karedesign.ru/wp-content/uploads/2024/02/KARE-20752-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,15 ,1 ,2 ,15 ,22 ,"0,500 ","0,001 ",,"",21 
93,KARE__20746,Образец аромасвечи Candle Sandalwood,Образец аромасвечи Candle Sandalwood,,"",911,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20746-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,6 ,5 ,11 ,26 ,20 ,"4,500 ","0,006 ",,",,, период горения",6 
94,KARE__20745,Образец аромасвечи Candle Black&Wild,Образец аромасвечи Candle Black&Wild,,"",911,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20745-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,6 ,5 ,11 ,26 ,20 ,"4,500 ","0,006 ",,",,, период горения",6 
